2471-2566,ACM TRANSACTIONS ON PRIVACY AND SECURITY B4
1049-331X,ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY A2
1559-1131,ACM TRANSACTIONS ON THE WEB A2
2576-6422,ACS APPLIED BIO MATERIALS B3
2574-0962,ACS APPLIED ENERGY MATERIALS B4
1944-8252,ACS APPLIED MATERIALS & INTERFACES (ONLINE) A1
4283-4293,ACS APPLIED NANO MATERIALS B4
2373-9878,ACS BIOMATERIALS SCIENCE & ENGINNERING A2
2155-5435,ACS CATALYSIS A1
2374-7951,ACS CENTRAL SCIENCE (ONLINE) A1
1554-8929,ACS CHEMICAL BIOLOGY A1
1554-8937,ACS CHEMICAL BIOLOGY A1
1948-7193,ACS CHEMICAL NEUROSCIENCE A1
2156-8952,ACS COMBINATORIAL SCIENCE A2
2472-3452,ACS EARTH AND SPACE CHEMISTRY B4
2373-8227,ACS INFECTIOUS DISEASES A1
2161-1653,ACS MACRO LETTERS A1
1948-5875,ACS MED CHEM LETT A2
1936-0851,ACS NANO A1
2470-1343,ACS OMEGA A3
2330-4022,ACS PHOTONICS A2
2379-3694,ACS SENSORS A1
2168-0485,ACS SUSTAINABLE CHEMISTRY & ENGINEERING A1
2161-5063,ACS SYNTHETIC BIOLOGY A1
0906-4710,"ACTA AGRICULTURAE SCANDINAVICA. SECTION B, SOIL AND PLANT SCIENCAE4"
0120-2812,ACTA AGRONOMICA B4
1809-4392,ACTA AMAZONICA B1
1677-7298,ACTA AMBIENTAL CATARINENSE B1
0001-5172,ACTA ANAESTHESIOLOGICA SCANDINAVICA A3
0353-5150,ACTA ANALYTICA A4
1234-950X,ACTA ANGIOLOGICA B4
2358-2375,ACTA APICOLA BRASILICA B3
0167-8019,ACTA APPLICANDAE MATHEMATICAE B1
0001-5202,ACTA ARACHNOLOGICA B4
0065-101X,ACTA ARCHAEOLOGICA (PAPIRFORM) B1
0094-5765,ACTA ASTRONAUTICA A1
0001-5237,ACTA ASTRONOMICA A1
1672-9145,ACTA BIOCHIMICA ET BIOPHYSICA SINICA A4
1726-569X,ACTA BIOETHICA (EN LÍNEA) B4
0120-548X,ACTA BIOLOGICA COLOMBIANA B1
1742-7061,ACTA BIOMATERIALIA A1
2236-0867,ACTA BIOMEDICA BRASILIENSIA B1
0325-2957,ACTA BIOQUÍMICA CLÍNICA LATINOAMERICANA B4
0001-5342,ACTA BIOTHEORETICA A2
1677-941X,ACTA BOTANICA BRASILICA B1
2526-4338,ACTA BRASILIENSIS B1
2526-432X,ACTA BRASILIENSIS B1
0001-5385,ACTA CARDIOLOGICA (IMPRIMÉ) B2
0583-6050,ACTA CARSOLOGICA B1
1006-7191,ACTA METALLURGICA SINICA,A2
2594-7680,ACTA NEGÓCIOS,B4
0065-1400,ACTA NEUROBIOLOGIAE EXPERIMENTALIS (DRUK),B1
0001-6268,ACTA NEUROCHIRURGICA,A3
0300-9009,ACTA NEUROLOGICA BELGICA,B2
0001-6314,ACTA NEUROLOGICA SCANDINAVICA,A2
0001-6322,ACTA NEUROPATHOLOGICA,A1
2051-5960,ACTA NEUROPATHOLOGICA COMMUNICATIONS,A1
1601-5215,ACTA NEUROPSYCHIATRICA,A3
0001-6349,ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,A3
1852-4834,ACTA ODONTOLOGICA LATINOAMERICANA,A4
1502-3850,ACTA ODONTOLOGICA SCANDINAVICA,A2
0001-6365,ACTA ODONTOLÓGICA VENEZOLANA,B4
1146-609X,ACTA OECOLOGICA (MONTROUGE),A3
1509-409X,ACTA OF BIOENGINEERING AND BIOMECHANICS,B1
0284-186X,ACTA ONCOLOGICA (STOCKHOLM),A3
2027-7822,ACTA ONDONTOLÓGICA COLOMBIANA,B4
1755-375X,ACTA OPHTHALMOLOGICA,A2
0001-6454,ACTA ORNITHOLOGICA,A4
1745-3674,ACTA ORTHOPAEDICA (PRINT),A1
1413-7852,ACTA ORTOPÉDICA BRASILEIRA (IMPRESSO),B3
0001-6489,ACTA OTO-LARYNGOLOGICA,A4
0392-100X,ACTA OTORHINOLARYNGOLOGICA ITALICA,A4
2173-5735,ACTA OTORRINOLARINGOLOGICA (ENGLISH EDITION),B4
0001-6519,ACTA OTORRINOLARINGOLÓGICA ESPAÑOLA,B2
0803-5253,ACTA PAEDIATRICA (OSLO),A2
0567-7920,ACTA PALAEONTOLOGICA POLONICA,A2
1230-2821,ACTA PARASITOLOGICA,B3
0103-2100,ACTA PAULISTA DE ENFERMAGEM (UNIFESP. IMPRESSO),A3
0001-6640,ACTA PEDIÁTRICA ESPAÑOLA,B1
1330-0075,ACTA PHARMACEUTICA,A4
2211-3835,ACTA PHARMACEUTICA SINICA B,A1
1671-4083,ACTA PHARMACOLOGICA SINICA,A2
0587-4246,ACTA PHYSICA POLONICA. A,B1
0587-4254,ACTA PHYSICA POLONICA. B,B1
0137-5881,ACTA PHYSIOLOGIAE PLANTARUM,A3
1861-1664,ACTA PHYSIOLOGIAE PLANTARUM,A3
1748-1716,ACTA PHYSIOLOGICA (ONLINE),A1
0231-424X,ACTA PHYSIOLOGICA HUNGARICA (PRINT),B4
0185-3082,ACTA POÉTICA,A4
2448-735X,ACTA POÉTICA (ONLINE),A4
0001-6837,ACTA POLONIAE PHARMACEUTICA: DRUG RESEARCH,B1
